类型,路径,字节
协议或计划（状态需对照最新原始结果）,docs/cliplora_controlled_a_refresh_pilot.md,20862
协议或计划（状态需对照最新原始结果）,docs/cliplora_la_ablation_e0_e1_j_s.md,6493
协议或计划（状态需对照最新原始结果）,docs/cliplora_la_control_running.md,11042
协议或计划（状态需对照最新原始结果）,docs/cliplora_method_a_full_cp.md,18733
协议或计划（状态需对照最新原始结果）,docs/cliplora_sfra_classification_preservation_design.md,13495
协议或计划（状态需对照最新原始结果）,docs/cliplora_sfra_cp.md,6310
协议或计划（状态需对照最新原始结果）,docs/cliplora_sfra_v1.md,10246
协议或计划（状态需对照最新原始结果）,docs/cliplora_standard_dirichlet_rerun.md,7297
协议或计划（状态需对照最新原始结果）,docs/cliplora_topology_bridge_attribution_design.md,28722
协议或计划（状态需对照最新原始结果）,docs/cliplora_topology_bridge_running.md,8988
协议或计划（状态需对照最新原始结果）,docs/cliplora_v2.md,2250
协议或计划（状态需对照最新原始结果）,docs/d1_d2_d3_seed42.md,5948
协议或计划（状态需对照最新原始结果）,docs/d2b_ccar_necessity_gate.md,3715
协议或计划（状态需对照最新原始结果）,docs/eri_closure_cluster_guide.md,5341
协议或计划（状态需对照最新原始结果）,docs/evidence_rewrite_imbalance_closure_experiment.md,31612
协议或计划（状态需对照最新原始结果）,docs/fedtef_v5_diagnostic_loop.md,4415
协议或计划（状态需对照最新原始结果）,docs/frozen_p_fcc_d_rtc_method_contract_v1.0.1.md,18922
协议或计划（状态需对照最新原始结果）,docs/frozen_p_fcc_d_rtc_method_contract_v1.0.2_amendment.md,2292
协议或计划（状态需对照最新原始结果）,docs/frozen_p_fcc_d_rtc_method_contract_v1.md,15830
协议或计划（状态需对照最新原始结果）,docs/g0_d1_seed42.md,3935
协议或计划（状态需对照最新原始结果）,docs/main_table_standard_dirichlet_status_20260920.md,5342
协议或计划（状态需对照最新原始结果）,docs/method_a_maintext_experiments.md,8256
协议或计划（状态需对照最新原始结果）,docs/online_sca_d4a.md,2412
协议或计划（状态需对照最新原始结果）,docs/p0_head_damage_pareto.md,2445
协议或计划（状态需对照最新原始结果）,docs/pfrf_pilot_protocol.md,18572
协议或计划（状态需对照最新原始结果）,docs/pfrf_pilot_v1.json,4612
协议或计划（状态需对照最新原始结果）,docs/sca_factorial_experiment.md,5120
协议或计划（状态需对照最新原始结果）,docs/sfra_execution_optimization.md,7347
协议或计划（状态需对照最新原始结果）,docs/sfra_execution_v2.md,6902
协议或计划（状态需对照最新原始结果）,docs/stage1_topology_gate_and_capt.md,5995
协议或计划（状态需对照最新原始结果）,docs/v0_oracle_experiment.md,2889
协议或计划（状态需对照最新原始结果）,docs/v0b_v1_offline_analysis.md,2895
协议或计划（状态需对照最新原始结果）,docs/v0c_fast_screening.md,3009
协议或计划（状态需对照最新原始结果）,docs/visual_semantic_boundary_repair_v1_experiment_spec.md,15769
协议或计划（状态需对照最新原始结果）,docs/方法A_导师意见任务分解与修正路线_20260921.md,29006
协议或计划（状态需对照最新原始结果）,docs/方法A_正文主线与最小证据方案_20260921.md,11395
已有汇总、图或审阅（派生产物，不新增训练）,presentation/01_overall_tail.pdf,52751
已有汇总、图或审阅（派生产物，不新增训练）,presentation/01_overall_tail.png,176148
已有汇总、图或审阅（派生产物，不新增训练）,presentation/02_la_refresh_interaction.pdf,47712
已有汇总、图或审阅（派生产物，不新增训练）,presentation/02_la_refresh_interaction.png,225065
已有汇总、图或审阅（派生产物，不新增训练）,presentation/03_training_trajectories.pdf,56117
已有汇总、图或审阅（派生产物，不新增训练）,presentation/03_training_trajectories.png,341118
已有汇总、图或审阅（派生产物，不新增训练）,presentation/04_frequency_group_changes.pdf,49774
已有汇总、图或审阅（派生产物，不新增训练）,presentation/04_frequency_group_changes.png,161396
已有汇总、图或审阅（派生产物，不新增训练）,presentation/05_topology_evidence_boundary.pdf,54111
已有汇总、图或审阅（派生产物，不新增训练）,presentation/05_topology_evidence_boundary.png,276484
已有汇总、图或审阅（派生产物，不新增训练）,presentation/06_all_tail_classes.pdf,55433
已有汇总、图或审阅（派生产物，不新增训练）,presentation/06_all_tail_classes.png,294534
已有汇总、图或审阅（派生产物，不新增训练）,presentation/07_client_evidence_distribution.pdf,52230
已有汇总、图或审阅（派生产物，不新增训练）,presentation/07_client_evidence_distribution.png,191340
已有汇总、图或审阅（派生产物，不新增训练）,presentation/08_factor_roles_boundary.pdf,60035
已有汇总、图或审阅（派生产物，不新增训练）,presentation/08_factor_roles_boundary.png,222715
已有汇总、图或审阅（派生产物，不新增训练）,presentation/09_method_closure.pdf,101975
已有汇总、图或审阅（派生产物，不新增训练）,presentation/09_method_closure.png,387049
已有汇总、图或审阅（派生产物，不新增训练）,presentation/10_next_experiments.pdf,90124
已有汇总、图或审阅（派生产物，不新增训练）,presentation/10_next_experiments.png,323212
已有汇总、图或审阅（派生产物，不新增训练）,presentation/11_strategy_topology_interaction.pdf,56610
已有汇总、图或审阅（派生产物，不新增训练）,presentation/11_strategy_topology_interaction.png,220830
已有汇总、图或审阅（派生产物，不新增训练）,presentation/A更新保护_闭环实验协议.md,22141
已有汇总、图或审阅（派生产物，不新增训练）,presentation/core_method_ideation_20260919/A方法创新性复审_20260920.md,14529
已有汇总、图或审阅（派生产物，不新增训练）,presentation/core_method_ideation_20260919/核心方法五条路线_20260919.md,35851
已有汇总、图或审阅（派生产物，不新增训练）,presentation/core_method_ideation_20260919/核心方法完整设计_来源感知功能保持.md,29560
已有汇总、图或审阅（派生产物，不新增训练）,presentation/core_method_ideation_20260919/核心方法筛选与初步设计_文献约束版.md,33893
已有汇总、图或审阅（派生产物，不新增训练）,presentation/core_method_ideation_20260919/相关工作与创新边界核查.md,26390
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/analyze_nonholder_sources.py,9934
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/draft_archive/insight2_nonholder_sources.pdf,55366
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/draft_archive/insight2_nonholder_sources.png,218789
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/draft_archive/insight2_nonholder_sources.svg,47133
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/draft_archive/insight2_nonholder_sources_caption.md,3308
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/insight2_functional_sources_candidate.pdf,55366
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/insight2_functional_sources_candidate.png,218789
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/insight2_functional_sources_candidate.svg,47133
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/insight2_functional_sources_candidate_caption.md,3308
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/make_nonholder_figure.py,8916
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/nonholder_sources_conclusions.json,19870
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/nonholder_sources_rounds.csv,60944
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/diagnostics/nonholder_sources_summary.csv,2265
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/figures/insight3_history_retention_candidate.audit.json,839
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/figures/insight3_history_retention_candidate.pdf,25068
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/figures/insight3_history_retention_candidate.png,156789
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/figures/insight3_history_retention_candidate.svg,18749
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/figures/make_opening_candidate.py,9642
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/figures/make_retention_ablation_candidate.py,9268
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/figures/opening_same_pool_retention_candidate.audit.json,670
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/figures/opening_same_pool_retention_candidate.pdf,27126
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/figures/opening_same_pool_retention_candidate.png,192248
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/figures/opening_same_pool_retention_candidate.svg,31513
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/index.html,9556
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/insight_section_en.md,5393
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/insight正文_中文.md,4623
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/README.md,1272
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/证据与实验清单.md,8277
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insight_redesign_20260926/重新设计方案.md,20699
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/captions.md,7652
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/data/counts_client-longtail.csv,7002
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/data/counts_noniid-labeldir-fine.csv,6998
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/data/per_class_peak_to_final.csv,6322
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/data/performance_retention.csv,1985
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/data/training_curves.csv,50687
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/00_three_insights.pdf,75696
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/00_three_insights.png,254112
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/00_three_insights.svg,348763
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/01_client_distribution.pdf,66831
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/01_client_distribution.png,216450
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/01_client_distribution.svg,317579
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/02_tail_forgetting.pdf,52797
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/02_tail_forgetting.png,181701
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/02_tail_forgetting.svg,39941
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/03_adaptation_and_retention.pdf,53505
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/03_adaptation_and_retention.png,200124
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/03_adaptation_and_retention.svg,28355
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/04_per_class_drop_supplement.pdf,45960
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/04_per_class_drop_supplement.png,144630
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/en/04_per_class_drop_supplement.svg,29491
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/index.html,2943
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/make_insights.py,23842
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/plot_utils.py,2632
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/README.md,7435
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/validation.json,99816
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/validation_snapshot.json,3402
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/00_three_insights.pdf,88461
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/00_three_insights.png,270678
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/00_three_insights.svg,349467
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/01_client_distribution.pdf,77474
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/01_client_distribution.png,239625
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/01_client_distribution.svg,318211
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/02_tail_forgetting.pdf,50978
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/02_tail_forgetting.png,197679
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/02_tail_forgetting.svg,40340
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/03_adaptation_and_retention.pdf,57803
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/03_adaptation_and_retention.png,223443
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/03_adaptation_and_retention.svg,28816
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/04_per_class_drop_supplement.pdf,47785
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/04_per_class_drop_supplement.png,167711
已有汇总、图或审阅（派生产物，不新增训练）,presentation/insights_20260925/zh/04_per_class_drop_supplement.svg,29688
已有汇总、图或审阅（派生产物，不新增训练）,presentation/lora_ab_inventory_20260919/主线31组.md,15269
已有汇总、图或审阅（派生产物，不新增训练）,presentation/lora_ab_inventory_20260919/全部实验大表.csv,20433
已有汇总、图或审阅（派生产物，不新增训练）,presentation/lora_ab_inventory_20260919/全部实验大表.html,30402
已有汇总、图或审阅（派生产物，不新增训练）,presentation/lora_ab_inventory_20260919/全部实验大表.md,24182
已有汇总、图或审阅（派生产物，不新增训练）,presentation/lora_ab_inventory_20260919/核对记录.json,451
已有汇总、图或审阅（派生产物，不新增训练）,presentation/make_closure_figures.py,11133
已有汇总、图或审阅（派生产物，不新增训练）,presentation/make_figures.py,12431
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/00_contact_sheet.png,1378569
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/01_client_level_problem.png,250202
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/02_tail_retention_evidence.png,261612
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/03_why_intervene_on_A.png,384247
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/04_A_method_overview.png,466553
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/04_A_runtime_overview.png,338337
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/05_A_source_identification.png,294775
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/06_A_current_and_history.png,356753
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/07_A_three_step_correction.png,334307
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/08_A_experiments_and_readout.png,284950
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/09_B_evidence_and_hypothesis.png,280789
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/10_B_transfer_direction.png,332031
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/11_AB_joint_story.png,400743
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/12_validation_and_next_steps.png,331134
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/data/b_phase_attribution.csv,2198
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/data/partition_structure.csv,913
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/data/performance_clientlt.csv,495
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/data/retention.csv,1958
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/data/training_curves.csv,42243
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/render_slides.py,33582
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/validation.json,1617
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/汇报故事线与逐页讲稿.md,16517
已有汇总、图或审阅（派生产物，不新增训练）,presentation/method_ab_20260920/设计审查与数据口径.md,12759
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/00_contact_sheet.png,1229628
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/01_story_bridge.png,281454
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/02_client_evidence.png,234889
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/03_ab_protocol.png,259227
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/04_learning_retention.png,286760
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/05_la_interaction.png,254763
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/06_standard_topology.png,207015
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/07_topology_interaction.png,224557
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/08_performance_tradeoff.png,217049
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/09_group_gains.png,239348
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/10_method_candidate.png,302686
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/11_minimal_pilot.png,260453
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/12_closure_roadmap.png,264763
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/a1_full_results.png,255025
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/a2_all_tail_classes.png,253832
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/a3_factor_diagnostic.png,267639
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/data/factor_effects.csv,3468
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/data/partition_structure.csv,913
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/data/performance_clientlt.csv,495
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/data/retention.csv,1958
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/data/strategy_interactions.csv,416
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/data/tail_class_deltas.csv,1271
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/data/training_curves.csv,42243
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/render_presentation.py,43302
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/validation.json,919
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/图表索引与数据说明.md,6153
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/新版汇报故事线_20260919.md,21568
已有汇总、图或审阅（派生产物，不新增训练）,presentation/redesign_20260919/论文逻辑骨架与设计审查.md,16067
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/capt_fig1.png,50279
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/fedpurel_fig1.png,219578
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/fedpurel_fig2.png,101073
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/capt-01.png,562458
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/capt-02.png,609240
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/capt-03.png,634699
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/capt-04.png,495651
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/capt-06.png,544013
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/capt-07.png,644271
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/capt-08.png,647164
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/capt-11.png,552184
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/capt-14.png,621990
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/fedpurel-01.png,586149
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/fedpurel-02.png,668955
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/fedpurel-03.png,610182
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/fedpurel-04.png,926250
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/fedpurel-06.png,614278
已有汇总、图或审阅（派生产物，不新增训练）,presentation/reference_figure_study_20260926/pages/fedpurel-07.png,552980
