class_id,client_0,client_1,client_2,client_3,client_4,client_5,client_6,client_7,client_8,client_9,client_10,client_11,client_12,client_13,client_14,client_15,client_16,client_17,client_18,client_19,client_20,client_21,client_22,client_23,client_24,client_25,client_26,client_27,client_28,client_29
41,6,3,0,2,0,4,1,3,1,1,3,1,3,7,0,4,3,0,8,0,7,7,2,1,0,2,5,0,0,0
42,8,0,1,3,2,0,2,0,0,0,11,0,1,0,4,0,1,2,3,6,1,1,5,6,13,0,0,0,0,0
43,1,0,0,4,0,0,7,0,1,9,5,1,1,1,7,9,1,2,2,12,0,1,0,0,1,0,2,0,0,0
44,0,9,4,0,0,0,5,1,1,1,10,8,11,1,1,0,1,1,1,2,1,1,3,1,0,0,1,0,0,0
45,0,2,2,9,0,3,0,1,0,11,0,3,0,1,1,1,2,1,9,3,0,0,0,1,2,9,0,0,0,0
46,2,5,0,0,4,1,2,0,5,0,1,4,8,1,7,0,0,0,2,1,1,0,6,0,2,4,2,0,0,0
47,0,2,0,0,5,1,1,3,0,3,12,2,0,2,0,0,3,2,1,0,0,1,8,0,2,0,8,0,0,0
48,5,2,5,0,3,2,3,6,1,1,1,1,0,2,1,8,1,0,0,1,2,0,2,2,0,0,4,0,0,0
49,0,3,2,1,6,2,1,0,0,1,0,8,3,1,0,1,1,0,0,0,1,5,2,1,2,10,0,0,0,0
50,1,1,2,1,0,0,1,3,5,0,4,2,8,0,0,3,0,1,2,3,0,0,4,3,0,2,2,0,0,0
51,0,4,0,0,0,1,0,9,4,1,5,7,0,1,0,1,2,4,3,0,1,1,1,0,1,0,0,0,0,0
52,0,1,0,0,1,2,0,3,0,3,1,6,2,2,1,0,9,1,0,2,2,6,0,0,0,0,2,0,0,0
53,0,2,0,0,1,1,2,0,2,1,1,2,3,3,1,4,0,0,4,0,1,0,2,4,1,7,0,0,0,0
54,0,1,1,1,0,3,2,1,4,1,0,0,1,1,1,2,1,0,0,6,0,0,1,9,3,0,1,0,0,0
55,1,4,0,2,5,0,0,4,0,1,0,0,2,2,4,2,0,0,0,1,1,1,6,0,0,1,1,0,0,0
56,0,1,0,0,0,0,1,2,1,1,1,1,0,2,8,5,2,2,2,3,0,0,2,0,0,0,2,0,0,0
57,0,0,8,4,1,1,0,3,4,0,0,2,1,0,1,2,1,0,0,6,0,1,0,0,0,0,0,0,0,0
58,1,0,1,0,0,1,4,0,2,0,0,1,0,6,2,0,4,2,3,1,0,0,1,0,1,1,2,0,0,0
59,1,0,0,1,0,4,1,3,0,0,0,0,9,0,7,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0
60,2,1,1,1,0,0,0,0,3,0,6,0,0,3,1,1,3,5,0,0,0,0,0,1,2,0,0,0,0,0
61,0,1,0,0,0,1,0,1,2,3,0,0,2,0,1,2,0,0,5,0,0,0,6,1,0,3,1,0,0,0
62,3,0,0,3,0,1,1,1,3,0,0,0,2,0,2,4,0,1,0,0,1,0,0,1,0,0,4,0,0,0
63,3,0,0,3,0,0,0,0,0,2,0,2,2,2,0,0,0,4,2,4,1,0,0,1,0,0,0,0,0,0
64,0,0,1,1,1,0,0,1,1,1,1,2,6,3,0,0,0,1,1,2,2,0,0,0,1,0,0,0,0,0
65,0,0,2,0,4,1,1,0,0,1,4,1,0,0,0,1,4,1,1,0,0,0,1,0,1,1,0,0,0,0
66,1,0,0,0,0,0,2,1,0,0,1,1,0,2,0,3,1,0,2,0,1,1,1,0,3,3,0,0,0,0
67,1,0,7,0,0,0,0,0,0,2,4,0,2,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
68,0,3,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,2,0,0,1,1,0,2,4,1,0,0,0
69,2,0,0,0,1,0,1,0,2,1,0,0,0,1,1,0,1,0,0,2,0,0,3,2,0,2,1,0,0,0
70,0,4,3,0,2,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0
71,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,1,0,4,0,0,2,0,0,0
72,2,0,0,0,1,0,0,0,0,0,0,0,1,3,2,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0
73,0,1,3,0,0,0,0,0,0,0,1,0,0,4,1,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0
74,2,0,0,2,1,0,0,0,1,0,2,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0
75,0,1,0,0,2,0,1,0,0,0,0,2,0,0,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
76,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,5,0,1,1,0,0,0
77,0,0,1,2,0,2,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0
78,1,0,0,0,0,0,1,0,0,0,2,1,1,1,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0
79,0,0,0,1,1,0,1,0,0,2,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,9
81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,4
82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,4,0
83,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1
85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
86,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1
89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1
90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2
92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0
94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
